STATION_LINE,DAILY_ENTRIES
103 ST-6,20629.660130718956
46 ST BLISS ST-7,20538.058823529413
PRINCE ST-NRW,20490.549019607843
MYRTLE AV-JMZ,20377.477124183006
CARROLL ST-FG,20314.307189542484
81 ST-MUSEUM-BC,20173.692810457516
28 ST-NRW,19681.562091503267
116 ST-23,19673.437908496733
ELMHURST AV-MR,19474.42483660131
PELHAM PKWY-25,19370.503267973858
86 ST-R,19218.059210526317
YORK ST-F,19183.0522875817
149/GRAND CONC-245,19003.7908496732
CATHEDRAL PKWY-1,18994.928104575163
7 AV-FG,18980.62091503268
NASSAU AV-G,18910.24836601307
FRANKLIN AV-ACS,18803.307189542484
FORDHAM RD-BD,18770.614379084967
HOYT-SCHER-ACG,18733.516339869282
103 ST-1,18666.69934640523
JFK JAMAICA CT1-E,18586.679738562092
BERGEN ST-FG,18542.065359477125
59 ST-NRW,18466.13725490196
167 ST-BD,18460.91503267974
BROADWAY-NQW,18311.222222222223
BRIGHTON BEACH-BQ,18066.29411764706
CONEY IS-STILLW-DFNQ,18041.2091503268
238 ST-1,17720.34640522876
21 ST-QNSBRIDGE-F,17603.156862745098
COURT SQ-EMG,17552.30065359477
157 ST-1,17351.738562091505
ST. GEORGE-1,17349.143790849674
HUNTS POINT AV-6,17322.549019607843
SPRING ST-6,17040.62745098039
110 ST-6,16925.196078431374
14TH STREET-1,16865.065359477125
CANARSIE-ROCKAW-L,16750.53594771242
181 ST-1,16735.46405228758
DEKALB AV-L,16666.039215686276
LORIMER ST-JM,16630.57516339869
161/YANKEE STAD-4BD,16607.83660130719
HIGH ST-AC,16497.816993464054
TWENTY THIRD ST-1,16370.333333333334
GREENPOINT AV-G,16355.124183006536
PROSPECT AV-25,16191.16339869281
CHURCH AV-FG,16115.581699346405
INWOOD-207 ST-A,16071.43137254902
BURNSIDE AV-4,15994.078431372549
THIRTY ST-1,15993.81045751634
181 ST-A,15970.59477124183
40 ST LOWERY ST-7,15706.058823529413
FLUSHING AV-JM,15705.82191780822
TREMONT AV-BD,15664.830065359478
METROPOLITAN AV-GL,15581.522875816994
RECTOR ST-NRW,15534.555555555555
LACKAWANNA-1,15476.640522875818
NEWKIRK PLAZA-BQ,15419.562091503269
CHAMBERS ST-JZ456,15299.790849673203
PROSPECT PARK-BQS,15240.209150326797
96 ST-BC,15194.725490196079
NEVINS ST-2345,14825.032679738562
111 ST-A,14790.078431372549
33 ST-RAWSON ST-7,14684.581699346405
ROCKAWAY AV-C,14511.40522875817
FT HAMILTON PKY-FG,14445.712418300654
7 AV-BQ,14424.359477124182
4AV-9 ST-DFGMNR,14355.947712418301
KINGSBRIDGE RD-4,14218.686274509804
53 ST-R,14187.601307189543
BEDFORD-NOSTRAN-G,14128.43137254902
168 ST-1AC,13970.930693069307
NORWOOD 205 ST-D,13968.73202614379
167 ST-4,13881.843137254902
HARRISON-1,13758.490196078432
BROADWAY JCT-ACJLZ,13719.098039215687
MT EDEN AV-4,13675.40522875817
GRAHAM AV-L,13597.444444444445
72 ST-BC,13557.758169934641
67 AV-MR,13468.490196078432
ROCKAWAY AV-3,13455.686274509804
3 AV 138 ST-6,13373.712418300654
SIMPSON ST-25,13350.091503267973
170 ST-4,13211.16339869281
46 ST-MR,13081.64705882353
FORDHAM RD-4,13069.359477124182
KINGSBRIDGE RD-BD,13048.490196078432
CANAL ST-1,13039.64705882353
CENTRAL PK N110-23,13000.816993464052
PELHAM BAY PARK-6,12983.738562091503
RECTOR ST-1,12870.986928104576
18 ST-1,12808.611842105263
9TH STREET-1,12757.366013071896
169 ST-F,12715.843137254902
BAY PKWY-D,12666.248366013071
MOSHOLU PKWY-4,12577.254901960785
BAY RIDGE AV-R,12533.62091503268
45 ST-R,12180.098039215687
GRAND ARMY PLAZ-23,11985.282894736842
CLASSON AV-G,11820.281045751633
UNION ST-R,11758.039215686274
CATHEDRAL PKWY-BC,11638.849673202614
NEWKIRK AV-25,11574.934640522875
DYCKMAN ST-A,11573.947712418301
ROCKAWAY BLVD-A,11531.058823529413
125 ST-1,11487.40522875817
116 ST-BC,11428.281045751633
HOYT ST-23,11414.444444444445
GATES AV-JZ,11408.300653594772
ROOSEVELT ISLND-F,11403.790849673203
AVENUE U-BQ,11348.954248366013
BEDFORD PK BLVD-BD,11319.712418300654
JEFFERSON ST-L,11269.032679738562
WINTHROP ST-25,11268.26797385621
HALSEY ST-L,11256.503267973856
VAN SICLEN AVE-C,11208.006535947712
NEWARK C-1,11181.424836601307
V.CORTLANDT PK-1,11152.692810457516
CLINTON-WASH AV-C,11075.156862745098
OZONE PK LEFFRT-A,11054.02614379085
PARSONS BLVD-F,10890.08552631579
BAY PKWY-N,10873.143790849674
ASTORIA BLVD-NQW,10849.950980392157
HALSEY ST-J,10697.888888888889
MORGAN AV-L,10643.392156862745
HOWARD BCH JFK-A,10614.202614379084
KINGSTON-THROOP-C,10572.843137254902
SUTTER AV-RUTLD-3,10560.941176470587
E 180 ST-25,10522.124183006536
170 ST-BD,10499.535947712418
DYCKMAN ST-1,10401.97385620915
WOODLAWN-4,10375.562091503269
18 AV-F,10317.758169934641
MORISN AV/SNDVW-6,10315.54248366013
CASTLE HILL AV-6,10302.254901960785
NORTHERN BLVD-MR,10286.35294117647
36 AV-NQW,10236.117647058823
18 AV-D,10235.477124183006
BROAD ST-JZ,10195.692810457516
79 ST-D,10179.065359477125
15 ST-PROSPECT-FG,10080.300653594772
FULTON ST-G,10051.830065359478
52 ST-7,9951.222222222223
ELDER AV-6,9914.771241830065
MONTROSE AV-L,9905.549019607843
WEST FARMS SQ-25,9885.32679738562
FT HAMILTON PKY-N,9879.875
FRESH POND RD-M,9842.790849673203
BROOK AV-6,9664.300653594772
MYRTLE-WILLOUGH-G,9625.934640522875
174 ST-25,9594.686274509804
GRAND ST-L,9528.62091503268
CORTELYOU RD-BQ,9502.137254901962
WESTCHESTER SQ-6,9460.124183006536
RALPH AV-C,9440.398692810457
207 ST-1,9375.228758169935
183 ST-4,9375.013245033113
174-175 STS-BD,9361.934640522875
HUNTERS PT AV-7,9356.83660130719
AVENUE J-BQ,9326.281045751633
NEWARK HW BMEBE-1,9301.117647058823
PARKSIDE AV-BQ,9210.960784313726
GUN HILL RD-25,9187.699346405228
BAY RIDGE-95 ST-R,9144.359477124182
PROSPECT AV-R,9118.058823529413
KOSCIUSZKO ST-J,9099.228758169935
COURT SQ-23 ST-EMG,9075.56862745098
9 AV-D,9061.777777777777
135 ST-BC,9007.51633986928
3 AV-L,8938.601307189543
191 ST-1,8915.928104575163
GRANT AV-A,8886.013071895424
STERLING ST-25,8860.588235294117
NEW LOTS AV-3,8727.679738562092
77 ST-R,8710.150326797386
KINGS HWY-F,8647.549019607843
CLARK ST-23,8619.888888888889
AVENUE M-BQ,8618.699346405228
71 ST-D,8615.0
CITY HALL-NRW,8535.02614379085
KNICKERBOCKER-M,8479.424836601307
CLINTON-WASH AV-G,8478.888888888889
BROADWAY-G,8447.62091503268
LAFAYETTE AV-C,8308.241830065359
20 AV-D,8298.235294117647
69 ST-7,8242.522875816994
182-183 STS-BD,8202.888888888889
CENTRAL AV-M,8173.973856209151
NEW UTRECHT AV-ND,8167.666666666667
E 149 ST-6,8088.699346405228
190 ST-A,8086.0392156862745
SARATOGA AV-3,8079.470588235294
BEDFORD PK BLVD-4,8004.725490196079
KINGS HWY-N,7961.745098039216
MARBLE HILL-225-1,7925.084967320261
