STATION_LINE,DAILY_ENTRIES,MIN_HOSP_DIST
103 ST-6,20629.66013,17
46 ST BLISS ST-7,20538.05882,1
PRINCE ST-NRW,20490.54902,2
MYRTLE AV-JMZ,20377.47712,3
CARROLL ST-FG,20314.30719,4
81 ST-MUSEUM-BC,20173.69281,5
28 ST-NRW,19681.56209,6
116 ST-23,19673.43791,7
ELMHURST AV-MR,19474.42484,8
PELHAM PKWY-25,19370.50327,9
86 ST-R,19218.05921,10
YORK ST-F,19183.05229,11
149/GRAND CONC-245,19003.79085,12
CATHEDRAL PKWY-1,18994.9281,13
7 AV-FG,18980.62092,14
NASSAU AV-G,18910.24837,15
FRANKLIN AV-ACS,18803.30719,16
FORDHAM RD-BD,18770.61438,17
HOYT-SCHER-ACG,18733.51634,1
103 ST-1,18666.69935,2
JFK JAMAICA CT1-E,18586.67974,3
BERGEN ST-FG,18542.06536,4
59 ST-NRW,18466.13725,5
167 ST-BD,18460.91503,6
BROADWAY-NQW,18311.22222,7
BRIGHTON BEACH-BQ,18066.29412,8
CONEY IS-STILLW-DFNQ,18041.20915,9
238 ST-1,17720.34641,10
21 ST-QNSBRIDGE-F,17603.15686,11
COURT SQ-EMG,17552.30065,12
157 ST-1,17351.73856,13
ST. GEORGE-1,17349.14379,14
HUNTS POINT AV-6,17322.54902,15
SPRING ST-6,17040.62745,16
110 ST-6,16925.19608,17
14TH STREET-1,16865.06536,1
CANARSIE-ROCKAW-L,16750.53595,2
181 ST-1,16735.46405,3
DEKALB AV-L,16666.03922,4
LORIMER ST-JM,16630.57516,5
161/YANKEE STAD-4BD,16607.8366,6
HIGH ST-AC,16497.81699,7
TWENTY THIRD ST-1,16370.33333,8
GREENPOINT AV-G,16355.12418,9
PROSPECT AV-25,16191.1634,10
CHURCH AV-FG,16115.5817,11
INWOOD-207 ST-A,16071.43137,12
BURNSIDE AV-4,15994.07843,13
THIRTY ST-1,15993.81046,14
181 ST-A,15970.59477,15
40 ST LOWERY ST-7,15706.05882,16
FLUSHING AV-JM,15705.82192,17
TREMONT AV-BD,15664.83007,1
METROPOLITAN AV-GL,15581.52288,2
